uri,type,label,comment
http://data.europa.eu/54i#Asset,http://www.w3.org/2002/07/owl#Class,Asset,None
http://publications.europa.eu/ontology/cdm#reference_publication,http://www.w3.org/2002/07/owl#DatatypeProperty,reference_publication,None
http://publications.europa.eu/ontology/cdm#institution_formally-addressed_by_event_legal,http://www.w3.org/2002/07/owl#ObjectProperty,Institution formally-addressed by legal event,
http://publications.europa.eu/ontology/cdm#agreement_international_efta,http://www.w3.org/2002/07/owl#Class,EFTA international agreement,"European Free Trade Association (EFTA) international agreement (= subsector A of sector E in EUR-Lex).
The EFTA international agreement is implicitly also a subclass of agreement_international and can use the relationships stored_by and has_type_comment (cf. below)"
http://publications.europa.eu/ontology/cdm#contributed_to_by,http://www.w3.org/2002/07/owl#ObjectProperty,contributed_to_by,None
http://publications.europa.eu/ontology/cdm#work_dataset_date_start,http://www.w3.org/2002/07/owl#DatatypeProperty,Dataset start date,This property refers to the beginning of the period the dataset covers
http://publications.europa.eu/ontology/cdm#manifestation_special-official-journal_part_pages_total,http://www.w3.org/2002/07/owl#DatatypeProperty,Total pages,"DEPRECATED,  Total number of pages of the SE part related to a legal resource. Use manifestion_print_pages_total "
http://publications.europa.eu/ontology/cdm#expression_uses_language,http://www.w3.org/2002/07/owl#ObjectProperty,Expression uses language,"The expression uses a given language (can be repeated to cover expressions in several languages).
Implicit in the TIT_XX, Marc field 41 a. Relevant for legal analysis: true"
http://publications.europa.eu/ontology/cdm#info_decision_cjeu,http://www.w3.org/2002/07/owl#Class,Information on a non-published decision of the Court of Justice,None
http://publications.europa.eu/ontology/cdm#page_official_journal,http://www.w3.org/2002/07/owl#DatatypeProperty,page_official_journal,None
http://publications.europa.eu/ontology/cdm#joins,http://www.w3.org/2002/07/owl#ObjectProperty,joins,None
http://publications.europa.eu/ontology/cdm#published,http://www.w3.org/2002/07/owl#DatatypeProperty,published,None
http://publications.europa.eu/ontology/cdm#partially_referred_to,http://www.w3.org/2002/07/owl#ObjectProperty,partially_referred_to,None
http://publications.europa.eu/ontology/cdm#completes,http://www.w3.org/2002/07/owl#ObjectProperty,completes,None
http://publications.europa.eu/ontology/cdm#reports_on,http://www.w3.org/2002/07/owl#ObjectProperty,reports_on,None
http://publications.europa.eu/ontology/cdm#publication_general_source_information_additional,http://www.w3.org/2002/07/owl#DatatypeProperty,Additional source of information,Additional source of information relating to this general publication
http://publications.europa.eu/ontology/cdm#type_court-report,http://www.w3.org/2002/07/owl#Class,Concept representing the types of court reports,"Values currently used in the Court schema: RG1, RG2, SC

Traced in MDR-1940"
http://data.europa.eu/eli/ontology#legal_value,http://www.w3.org/2002/07/owl#FunctionalProperty,legal value,"The legal value associated with a specific format of a resource. A set of values is defined by ELI in the corresponding concept scheme. These values are :
  - unofficial : no particular or special standing;
  - official : published by an organisation with the public task of making the information available (e.g. a consolidated version of a EU directive) ;
  - authoritative : the publisher gives some special status to the publication (e.g. ""the Queens Printer"" version of an Act of Parliament, or the OJ version of a EU Directive);
  - definitive : the text is conclusively what the law says, (e.g. the digitally signed version of an OJ)."
http://data.europa.eu/eli/ontology#repeals,http://www.w3.org/2002/07/owl#ObjectProperty,repeals,"Indicates that this legal resource or legal expression completely cancels, abrogates or replaces another. If a resource partially repeals another, this link can be used at the corresponding subdivision level being completely repealed."
http://publications.europa.eu/ontology/cdm#date_entry-into-force,http://www.w3.org/2002/07/owl#DatatypeProperty,date_entry-into-force,None
http://www.w3.org/ns/dcat#CatalogRecord,None,Catalogue Record,"A record in a data catalog, describing a single dataset."
http://www.w3.org/ns/adms#status,http://www.w3.org/2002/07/owl#ObjectProperty,Distribution - status,This property refers to the maturity of the Distribution
http://publications.europa.eu/ontology/cdm#opinion_requested_by,http://www.w3.org/2002/07/owl#ObjectProperty,opinion_requested_by,None
http://publications.europa.eu/ontology/cdm#information_language_expression,http://www.w3.org/2002/07/owl#DatatypeProperty,information_language_expression,None
http://publications.europa.eu/ontology/cdm#date_reply,http://www.w3.org/2002/07/owl#DatatypeProperty,date_reply,RP
http://data.europa.eu/m8g/typeOfTranslation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,type of translation,"A Criterion requirement may specify whether the evidence proving that this Criterion requirement shall be translated and what type of translation shall apply, for instance, certified translation."
http://publications.europa.eu/ontology/cdm#dossier_is_about_concept_type_dossier,http://www.w3.org/2002/07/owl#ObjectProperty,Dossier is about dossier type concept,Relevant for legal analysis: true
http://purl.org/dc/terms/spatial,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Data Catalogue - spatial / geographic,This property refers to a geographic region that is covered by the Dataset.
http://publications.europa.eu/ontology/cdm#manifestation_print_reference_title,http://www.w3.org/2002/07/owl#DatatypeProperty,Title," DEPRECATED,  Title of the print manifestation that is referenced.
e.g. Débats du PE (éd. française) or Verhandlungen des EP (deutsche Ausgabe). Use manifestion_title"
http://publications.europa.eu/ontology/cdm#summary_case-law_jure_id_celex,http://www.w3.org/2002/07/owl#DatatypeProperty,Identifier for case law in JURE,Identifier for the summary of case law (build on Celex identifier in sector 8 followed by _SUMJURE)
http://publications.europa.eu/ontology/cdm#number_session,http://www.w3.org/2002/07/owl#DatatypeProperty,number_session,None
http://publications.europa.eu/ontology/cdm#id_obsolete_notice,http://www.w3.org/2002/07/owl#DatatypeProperty,id_obsolete_notice,None
http://publications.europa.eu/ontology/cdm#concept_new_case-law_subject_of_case-law,http://www.w3.org/2002/07/owl#ObjectProperty,New case law concept is subject of a case law,
http://publications.europa.eu/ontology/cdm#measure_national_implementing_implements_directive,http://www.w3.org/2002/07/owl#ObjectProperty,National implementing measure implements directive,"DEPRECATED, Link to the directive that this NIM implements.
Use mesure_national_implementing_implements_resource_legal"
http://publications.europa.eu/ontology/cdm#event_legal_has_remark_concept_type_remark,http://www.w3.org/2002/07/owl#ObjectProperty,legal event has remark,Relevant for legal analysis: true
http://publications.europa.eu/ontology/cdm#procedure_internal_open_public_consultation_needed,http://www.w3.org/2002/07/owl#DatatypeProperty,Internal procedure needs open public consultation?,"Do the better_regulation_requirements require an open public consultation for this internal procedure?
/ns4:ec_transmission_request/transmission/workflow/extension/ns3:better_regulation_requirements/ns3:open_public_consultation"
http://publications.europa.eu/ontology/cdm#case-law_national_keywords,http://www.w3.org/2002/07/owl#DatatypeProperty,Description,Formal Description of a case law
http://publications.europa.eu/ontology/cdm#document_budget_ep_reported_by_person,http://www.w3.org/2002/07/owl#ObjectProperty,European Parliament budget document has rapporteur,Relevant for legal analysis: true
http://publications.europa.eu/ontology/cdm#requests,http://www.w3.org/2002/07/owl#ObjectProperty,requests,None
http://publications.europa.eu/ontology/cdm#resource_legal_date_vote,http://www.w3.org/2002/07/owl#DatatypeProperty,Date of vote,Relevant for legal analysis: true
http://publications.europa.eu/ontology/cdm#work_is_another_publication_of_work,http://www.w3.org/2002/07/owl#ObjectProperty,Work is another publication of another work,"The work in its entirety is another publication of another work. Meant for cases where one work is republished entirely elsewhere, but where for some reasons those two works should not be considered identical"
http://publications.europa.eu/ontology/cdm#annex_part_of_work,http://www.w3.org/2002/07/owl#ObjectProperty,Annex part of work,This property associates an instance of a work with an instance of ANNEX that forms part of it.
http://publications.europa.eu/ontology/cdm#signature_digital_date_signature_xades-t,http://www.w3.org/2002/07/owl#DatatypeProperty,XAdES-T date and time,Date and time this signature got its XAdES-T
http://publications.europa.eu/ontology/cdm#work_complex_work_group_id,http://www.w3.org/2002/07/owl#DatatypeProperty,Complex work group id,common property to all works related directly or indirectly to a complex work instance
http://publications.europa.eu/ontology/cdm#codified_version,http://www.w3.org/2002/07/owl#DatatypeProperty,codified_version,None
http://publications.europa.eu/ontology/cdm#question_parliamentary_nationality_mep,http://www.w3.org/2002/07/owl#DatatypeProperty,Nationality of MEP,"refers to the nationality of the member of the European Parliament who asked the question. It is mandatory for Parliamentary questions.
Currently coded by FD Table 289, could also be a link to a country. Example: 92004E1202. AF (1). AF_GROUP and AF_NAT occur together. Relevant for legal analysis: true "
http://publications.europa.eu/ontology/cdm#involves,http://www.w3.org/2002/07/owl#ObjectProperty,involves,None
http://publications.europa.eu/ontology/cdm#manifestation_special-court-report_part_pages_total,http://www.w3.org/2002/07/owl#DatatypeProperty,Total pages," DEPRECATED, Total number of pages of the special Court report part related to a court document. Use manifestion_print_pages_total"
http://publications.europa.eu/ontology/cdm#opinion_advocate-general,http://www.w3.org/2002/07/owl#Class,Opinion of advocate general,"Opinion of the advocate general in sector 6 (6CC/6TC).
Currently encoded by table FD"
http://publications.europa.eu/ontology/cdm#case_court_has_joined_conclusion_opinion_advocate-general,http://www.w3.org/2002/07/owl#ObjectProperty,Case  has joined conclusions,The property to be used to issue a link between an opinion of the advocate general and a case or several cases from the Court  (no matter if those are joined or not) 
http://data.europa.eu/eli/ontology#type_subdivision,http://www.w3.org/2002/07/owl#FunctionalProperty,type of subdivision,"The type of a document subdivision (e.g. ""Article"", ""Paragraph"", ""Section"", etc.).
A subdivision can have only one type.

ELI does not specify a list of possible values. Member states are encouraged to make their own list of values in the corresponding concept scheme. EU Publication Office provies a list of values for EU resource types at https://op.europa.eu/en/web/eu-vocabularies/at-dataset/-/resource/dataset/subdivision"
http://publications.europa.eu/ontology/cdm#acknowledgment,http://www.w3.org/2002/07/owl#Class,Acknowlegement,"""A formal declaration of acknowledgment by the author in which persons and institutions are thanked for their part in the creation of a text"" (TEI 4.5)"
http://www.w3.org/ns/dcat#record,None,Data Catalogue - record,This property refers to a Catalogue Record that is part of the Catalogue
http://publications.europa.eu/ontology/cdm#qualifier_document,http://www.w3.org/2002/07/owl#DatatypeProperty,qualifier_document,None
http://publications.europa.eu/ontology/cdm#event_legal_is_about_concept_agenda_council,http://www.w3.org/2002/07/owl#ObjectProperty,legal event is about prelex concept,Relevant for legal analysis: true
http://www.w3.org/ns/org#identifier,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,identifier,None
http://publications.europa.eu/ontology/cdm#resource_legal_comment_internal,http://www.w3.org/2002/07/owl#DatatypeProperty,Internal comment,Relevant for legal analysis: true
http://publications.europa.eu/ontology/cdm#has_originally,http://www.w3.org/2002/07/owl#ObjectProperty,has_originally,None
http://publications.europa.eu/ontology/cdm#legislation_secondary,http://www.w3.org/2002/07/owl#Class,Secondary legislation,Secondary legislation (= sector 3 in EUR-Lex) 
http://publications.europa.eu/ontology/cdm#manifestation_special-official-journal,http://www.w3.org/2002/07/owl#Class,Manifestation of a Special Edition of the Official Journal,Information on the print manifestation of a special edition of the official journal
http://data.europa.eu/54i#PolicyFormulation,http://www.w3.org/2002/07/owl#Class,Policy Formulation,None
http://publications.europa.eu/ontology/cdm#created_by,http://www.w3.org/2002/07/owl#ObjectProperty,created_by,None
http://publications.europa.eu/ontology/cdm#concept_class_court_national,http://www.w3.org/2002/07/owl#Class,Concept representing a Class of a National Court,"Corresponds to the contents of the JURE field court/class.court. It can have the values:

- Court of first instance
- Court of appeal 
- Supreme court"
http://publications.europa.eu/ontology/cdm#cpv_original_link_title,http://www.w3.org/2002/07/owl#DatatypeProperty,cpv_original_link_title,None
http://publications.europa.eu/ontology/cdm#agent_involved_in_event,http://www.w3.org/2002/07/owl#ObjectProperty,Agent involved in event,A specific agent is involved in this event
http://data.europa.eu/eli/ontology#is_about,http://www.w3.org/2002/07/owl#ObjectProperty,is about,A subject for this legal resource. The use of Eurovoc (http://eurovoc.europa.eu) is encouraged to select values for this property. Member states are encouraged to align local values to Eurovoc.
http://publications.europa.eu/ontology/cdm#joint-responsibility_of,http://www.w3.org/2002/07/owl#ObjectProperty,joint-responsibility_of,None
http://data.europa.eu/54i#periodStart,http://www.w3.org/2002/07/owl#DatatypeProperty,period start,"An individual member of class Temporal can have  one or two data-properties.
In the first case it refers to a point in time, in the second - to a period (or interval - see the difference in the comment of http://data.europa.eu/54i#hasPeriod), defined by periodStart and periodEnd.

All three properties have their domain declared as member of class Temporal. This means that, if one of these properties is used by members of other classes, that member will be inferred as member of the Temporal class. The purpose is to be able query all temporal information from that single class.

All three properties are declared as  functional. This means, each individual will have only one property of the kind."
http://publications.europa.eu/ontology/cdm#resource_legal_procedure_type,http://www.w3.org/2002/07/owl#DatatypeProperty,Legal procedure type,Relevant for legal analysis: true
http://publications.europa.eu/ontology/cdm#location_for,http://www.w3.org/2002/07/owl#ObjectProperty,location_for,None
